Test Name,Description,Test Status,Test Owner,Saved for,Test Language,Test Expiry,,,,,,,,,,,,,,,,,,,
Pre-Eval 2% AM 11032014 Fall 2014,New Test,Ready To Run,Nancy Carey,Cornell,English,11/27/2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,2% WHITE MILK ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,C1,P607,CONTROL 1,Sample,,,,,,,,,,,,,,,,,,,,,
2,C2,P608,CONTROL 2,Sample,,,,,,,,,,,,,,,,,,,,,
3,C3,P609,CONTROL 3,Sample,,,,,,,,,,,,,,,,,,,,,
4,M def,2015,Malty - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,C4,P610,CONTROL 4,Sample,,,,,,,,,,,,,,,,,,,,,
6,FF def,2011,Fruity Fermented - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
7,C5,P611,CONTROL 5,Sample,,,,,,,,,,,,,,,,,,,,,
8,B def,2003,Bitter - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,A def,2001,Acid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,C1,CONTROL 1,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,C2,CONTROL 2,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C3,CONTROL 3,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,M def,Malty - DEF,nrs13,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C4,CONTROL 4,nrs13,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,FF def,Fruity Fermented - DEF,nrs13,,,,,,,,,2,,,,,,,,,,3,Not extremely FF as previously for definite. Good level.
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C5,CONTROL 5,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,B def,Bitter - DEF,nrs13,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,A def,Acid - DEF,nrs13,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,C1,CONTROL 1,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,C2,CONTROL 2,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,C3,CONTROL 3,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,M def,Malty - DEF,dds85,,,,,,,,,,,,,3,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C4,CONTROL 4,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,FF def,Fruity Fermented - DEF,dds85,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C5,CONTROL 5,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,B def,Bitter - DEF,dds85,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,A def,Acid - DEF,dds85,,,,,,,,,,,,,,,3,,,,0,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C1,CONTROL 1,lab344,,,,,1,,,,,,,,,,,,,,9,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,C2,CONTROL 2,lab344,,,,,,,,,,1,,,,,,,,,8,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,C3,CONTROL 3,lab344,,,,,,,,,,,,1,,0,,,,,5,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,M def,Malty - DEF,lab344,,,,,,,,,,,,,3,,,,,,1,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C4,CONTROL 4,lab344,,,,,,,,,,,,,,,,,1,,5,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,FF def,Fruity Fermented - DEF,lab344,,,,,,,,,2,,,,,,,,,,3,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C5,CONTROL 5,lab344,,,,,,,,,,,1,,,,,,,,7,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,B def,Bitter - DEF,lab344,,,,2,,,,,,,,,,,,,,,3,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,A def,Acid - DEF,lab344,3,,,,,,,,,,,,,,,,,,0,Nt
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C1,CONTROL 1,at543,,,,,,,,,,,,2,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C2,CONTROL 2,at543,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,C3,CONTROL 3,at543,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,M def,Malty - DEF,at543,,,,,,,,,,,,3,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,C4,CONTROL 4,at543,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,FF def,Fruity Fermented - DEF,at543,,,,,,,,,3,,,,,,,,,,1,Strawberry
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C5,CONTROL 5,at543,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,B def,Bitter - DEF,at543,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,A def,Acid - DEF,at543,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C1,CONTROL 1,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C2,CONTROL 2,aj425,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C3,CONTROL 3,aj425,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,M def,Malty - DEF,aj425,,,,,,,,,,,,,3,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,C4,CONTROL 4,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,FF def,Fruity Fermented - DEF,aj425,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C5,CONTROL 5,aj425,,,,,,,,,,2,,,,,,,,,7,
