Test Name,Description,Test Status,Test Owner,Saved for,Test Language,Test Expiry,,,,,,,,,,,,,,,,,,,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,New Test,Ready To Run,Nancy Carey,Cornell,English,4/25/2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,2% WHITE MILK ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,C1,P607,CONTROL 1,Sample,,,,,,,,,,,,,,,,,,,,,
2,CK def,2005,Cooked - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
3,C2,P608,CONTROL 2,Sample,,,,,,,,,,,,,,,,,,,,,
4,FE def,2007,Feed - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,R def,2017,Rancid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
6,B def,2003,Bitter - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
7,C3,P609,CONTROL 3,Sample,,,,,,,,,,,,,,,,,,,,,
8,MC def,P615,Milk Carton - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,C4,P610,CONTROL 4,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,C1,CONTROL 1,nrs13,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,CK def,Cooked - DEF,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,C2,CONTROL 2,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,FE def,Feed - DEF,nrs13,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,R def,Rancid - DEF,nrs13,,,,,,,,,,,,,,,1,,,,4,Faint odor Stronger rancid taste Slight vomit on wrist
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,B def,Bitter - DEF,nrs13,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,C3,CONTROL 3,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,MC def,Milk Carton - DEF,nrs13,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C4,CONTROL 4,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C1,CONTROL 1,hmm79,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,CK def,Cooked - DEF,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,C2,CONTROL 2,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,FE def,Feed - DEF,hmm79,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,R def,Rancid - DEF,hmm79,,,,,,,,,,,,,1,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,B def,Bitter - DEF,hmm79,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,C3,CONTROL 3,hmm79,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,MC def,Milk Carton - DEF,hmm79,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C4,CONTROL 4,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C1,CONTROL 1,rc687,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,CK def,Cooked - DEF,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,C2,CONTROL 2,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,FE def,Feed - DEF,rc687,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,R def,Rancid - DEF,rc687,3,,,,,,,,,,,,,,,,,,0,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,B def,Bitter - DEF,rc687,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,C3,CONTROL 3,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,MC def,Milk Carton - DEF,rc687,,,,,,,,,,3,,,,,,,,,6,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,C4,CONTROL 4,rc687,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,C1,CONTROL 1,ram524,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,CK def,Cooked - DEF,ram524,,,,,,,,,,,1,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C2,CONTROL 2,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,FE def,Feed - DEF,ram524,,,,,,3,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,R def,Rancid - DEF,ram524,,,,,,,,,,,,,,,3,,,,0,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,B def,Bitter - DEF,ram524,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,C3,CONTROL 3,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,MC def,Milk Carton - DEF,ram524,,,,,,,,,,,,,,2,,,,,7,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,C4,CONTROL 4,ram524,,,,,,,1,,,1,,,,,,,,,8.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,C1,CONTROL 1,lab344,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,CK def,Cooked - DEF,lab344,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C2,CONTROL 2,lab344,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,FE def,Feed - DEF,lab344,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,R def,Rancid - DEF,lab344,0,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,B def,Bitter - DEF,lab344,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,C3,CONTROL 3,lab344,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,MC def,Milk Carton - DEF,lab344,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,C4,CONTROL 4,lab344,,,,,,1,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,C1,CONTROL 1,arw93,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,CK def,Cooked - DEF,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,C2,CONTROL 2,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,FE def,Feed - DEF,arw93,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,R def,Rancid - DEF,arw93,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,B def,Bitter - DEF,arw93,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,C3,CONTROL 3,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,MC def,Milk Carton - DEF,arw93,,,,,,,,,,,,2,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,C4,CONTROL 4,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,C1,CONTROL 1,cjh263,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,CK def,Cooked - DEF,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,C2,CONTROL 2,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,FE def,Feed - DEF,cjh263,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,R def,Rancid - DEF,cjh263,,,,,,,,,,,,,0,,1,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,B def,Bitter - DEF,cjh263,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,C3,CONTROL 3,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,MC def,Milk Carton - DEF,cjh263,,,,,,,,,,,,1,,,0,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,C4,CONTROL 4,cjh263,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,C1,CONTROL 1,edf46,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,CK def,Cooked - DEF,edf46,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,C2,CONTROL 2,edf46,,,,,,,,,3,,,,,,,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,FE def,Feed - DEF,edf46,,,,,,3,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,R def,Rancid - DEF,edf46,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,B def,Bitter - DEF,edf46,,,,,,,,2,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C3,CONTROL 3,edf46,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,MC def,Milk Carton - DEF,edf46,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,C4,CONTROL 4,edf46,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,C1,CONTROL 1,kg292,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,CK def,Cooked - DEF,kg292,,,,,,,,,,,,,,,,,,,9,
